id,lon,lat,name,type,category
4843,21.15902,40.8395,A.T. AGIOY GERMANOY FLÏRINAS,ASTYNOMIA,Police station
4844,21.68333,40.68333,A.T. AMYNTAIOY FLÏRINAS,ASTYNOMIA,Police station
4845,21.42167,40.90975,A.T. NIKIS FLÏRINAS,ASTYNOMIA,Police station
4846,21.99483,40.18768,TMIMA SYN.FYL. KATÏ KLEINÏN,ASTYNOMIA,Police station
4847,21.79245,40.29859,TMIMA SYN.FYL. KRYSTALLOPIGIS,ASTYNOMIA,Police station
4848,21.03899,40.7762,TMIMA SYN.FYL. PRESPÏN,ASTYNOMIA,Police station
4849,21.40234,40.77866,EISAGGELIA PRÏTODIKÏN FLÏRINAS TMIMA POINIKOY MITRÏOY,EIS.PRÏTODIKÏN,Court buildings
4850,21.41305,40.78395,PYROSBESTIKI YPIRESIA FLÏRINAS,PYROSBESTIKI,Fire department
4851,23.37045,37.59725,ASTYN. D/NSI FÏKIDAS,ASTYNOMIA,Police station
4852,22.42007,38.43395,A.T. ITEAS FÏKIDAS,ASTYNOMIA,Police station
4853,22.48875,38.48072,A.T. DELFÏN FÏKIDAS,ASTYNOMIA,Police station
4854,22.43065,38.67079,A.T. GRABIAS FÏKIDAS,ASTYNOMIA,Police station
4855,22.20482,38.52797,A.T. LIDORIKIOY FÏKIDAS,ASTYNOMIA,Police station
4856,21.9761,38.45272,A.T. EYPALIOY FÏKIDAS,ASTYNOMIA,Police station
4857,21.66707,37.25201,EISAGGELIA PRÏTODIKÏN AMFISSAS TMIMA POINIKOY MITRÏOY,EIS.PRÏTODIKÏN,Court buildings
4858,24.70242,35.10848,PYROSBESTIKI YPIRESIA AMFISSAS,PYROSBESTIKI,Fire department
4859,24.47608,35.37044,PYROSBESTIKI YPIRESIA ITEAS,PYROSBESTIKI,Fire department
4860,26.43709,37.58375,PYROSBESTIKO KLIMAKIO LIDÏRIKIOY,PYROSBESTIKI,Fire department
4861,22.3457,38.36941,Y/CH GALACHIDßOY,LIMENAR×EIO,Oher public buildings
4862,22.42425,38.4331,Y/CH ITÝAS,LIMENAR×EIO,Oher public buildings
4863,26.21639,37.63278,ASTYN. D/NSI CHALKIDIKIS,ASTYNOMIA,Police station
4864,26.97491,37.75902,A.T. NEAS KALLIKRATEIAS,ASTYNOMIA,Police station
4865,23.41212,40.04799,A.T. KASSANDREIAS CHALKIDIKIS,ASTYNOMIA,Police station
4866,23.28853,40.45979,A.T. GALATISTAS CHALKIDIKIS,ASTYNOMIA,Police station
4867,23.69474,40.24928,A.T. AGIOY NIKOLAOY CHALKIDIKIS,ASTYNOMIA,Police station
4868,23.68022,40.44463,TM.SYN.FYL.PANAGIAS CHALKIDIKIS,ASTYNOMIA,Police station
4869,23.28501,40.23912,A.T. NEÏN MOYDANIÏN CHALKIDIKIS,ASTYNOMIA,Police station
4870,23.59351,40.4864,A.T. ARNAIAS CHALKIDIKIS,ASTYNOMIA,Police station
4871,23.28501,40.23912,T.T. NEÏN MOYDANIÏN CHALKIDIKIS,ASTYNOMIA,Police station
4872,24.24498,40.25715,A.T. AGIOY OROYS CHALKIDIKIS,ASTYNOMIA,Police station
4873,22.08333,38.25,E.D. LIMENA NEÏN MOYDANIÏN,ASTYNOMIA,Police station
4874,23.87417,40.396,A.T. IERISSOY,ASTYNOMIA,Police station
4875,23.93694,38.02544,TM. DIÏCH. LATHR. TRIGLIAS,ASTYNOMIA,Police station
4876,23.54369,40.29494,TM. DIÏCH. LATHR. ORMYLIAS,ASTYNOMIA,Police station
4877,23.44024,40.37779,EISAGGELIA PRÏTODIKÏN CHALKIDIKIS TMIMA POINIKOY MITRÏOY,EIS.PRÏTODIKÏN,Court buildings
4878,23.98,40.325,L/S OYRANOýPOLIS (L/CH IERISSOý),LIMENAR×EIO,Oher public buildings
4879,23.81263,40.51045,L/S STRATÏNßOY (L/CH IERISSOý),LIMENAR×EIO,Oher public buildings
4880,20.71799,38.36312,L/S DÜFNIS (L/CH IERISSOý),LIMENAR×EIO,Oher public buildings
4881,23.73074,40.23411,L/CH IERISSOý/LF ORMOY PANAGIÜS,LIMENAR×EIO,Oher public buildings
4882,23.92278,40.36585,L/CH IERISSOý/LF TRYPITÞS,LIMENAR×EIO,Oher public buildings
4883,23.87498,40.39736,L/CH IERISSOý,LIMENAR×EIO,Oher public buildings
4884,22.42425,38.4331,L/S NÝOY MARMARÜ (Y/CH NÝÏN MOYDANIþN),LIMENAR×EIO,Oher public buildings
4885,24.42034,38.01541,Y/CH NÝÏN MOYDANIþN,LIMENAR×EIO,Oher public buildings
4886,23.28501,40.23912,Y/CH NÝÏN MOYDANIþN,LIMENAR×EIO,Oher public buildings
4887,24.41918,38.01697,PYROSBESTIKI YPIRESIA POLYGYROY,PYROSBESTIKI,Fire department
4888,24.53777,38.84268,PYROSBESTIKI YPIRESIA STAGEIRÏN AKANTHOY,PYROSBESTIKI,Fire department
4889,24.12525,38.63288,PYROSBESTIKO KLIMAKIO KARYÏN AGIOY OROYS,PYROSBESTIKI,Fire department
4890,24.96355,40.98434,PYROSBESTIKO KLIMAKIO NEOY MARMARA,PYROSBESTIKI,Fire department
4891,23.41212,40.04799,PYROSBESTIKO KLIMAKIO KASSANDRAS,PYROSBESTIKI,Fire department
4892,23.59351,40.4864,PYROSBESTIKO KLIMAKIO ARNAIAS,PYROSBESTIKI,Fire department
4893,26.13723,38.3638,ASTYN. D/NSI CHIOY,ASTYNOMIA,Police station
4894,26.09209,38.52866,A.T. KARDAMYLÏN CHIOY,ASTYNOMIA,Police station
4895,26.14061,38.34453,E.D. AEROLIMENA CHIOY,ASTYNOMIA,Police station
4896,23.6385,37.94498,E.D. LIMENA CHIOY,ASTYNOMIA,Police station
4897,21.82431,39.07421,A.T. MASTICHOCHÏRIÏN,ASTYNOMIA,Police station
4898,26.13728,38.37037,EISAGGELIA PRÏTODIKÏN CHIOY TMIMA POINIKOY MITRÏOY,EIS.PRÏTODIKÏN,Court buildings
4899,24.67678,36.98831,K.L. CHßOY,LIMENAR×EIO,Oher public buildings
4900,25.93046,38.28719,L/S MESTþN,LIMENAR×EIO,Oher public buildings
4901,25.57995,38.56192,L/S PSARþN,LIMENAR×EIO,Oher public buildings
4902,25.89055,40.84854,A.E.N./CHßOY,LIMENAR×EIO,Oher public buildings
4903,23.28501,40.23912,L/S KARDAMýLÏN,LIMENAR×EIO,Oher public buildings
4904,26.13723,38.3638,PYROSBESTIKI YPIRESIA CHIOY,PYROSBESTIKI,Fire department
4905,26.96758,37.46476,PYROSBESTIKO KLIMAKIO KARDAMYLÏN,PYROSBESTIKI,Fire department
4906,21.83403,38.39479,L/S NAYPÜKTOY,LIMENAR×EIO,Oher public buildings
4907,23.03222,38.74414,A.T. AITÏLIKOY MESOLOGGIOY,ASTYNOMIA,Police station
4908,22.99489,38.65466,A.T. GABALOYS MESOLOGGIOY,ASTYNOMIA,Police station
4909,21.83161,38.39471,A.T. NAYPAKTOY NAYPAKTIAS,ASTYNOMIA,Police station
4910,21.08417,38.53757,A.T. ASTAKOY BONITSAS,ASTYNOMIA,Police station
4911,21.82174,38.38935,T.T. NAYPAKTOY NAYPAKTIAS,ASTYNOMIA,Police station
4912,23.94175,39.2454,E.D. LIMENA ASTAKOY PLATYGIALIOY,ASTYNOMIA,Police station
4913,22.13622,37.90848,A.T. AGIOY BLASIOY TRICHÏNIDAS,ASTYNOMIA,Police station
4914,21.31703,39.0251,A.T. EMPESOY BALTOY,ASTYNOMIA,Police station
4915,21.11376,38.78538,A.T. KATOYNAS BONITSAS,ASTYNOMIA,Police station
4916,27.84287,36.58557,A.T. THERMOY TRICHÏNIDAS,ASTYNOMIA,Police station
4917,21.1667,38.86341,A.T. AMFILOCHIAS BALTOY,ASTYNOMIA,Police station
4918,23.59666,38.08163,ASTYN. D/NSI AITÏLIAS,ASTYNOMIA,Police station
4919,21.40468,38.62229,ASTYN. D/NSI AKARNANIAS,ASTYNOMIA,Police station
4920,23.43594,37.32615,E.D. AEROLIMENA AKTIOY,ASTYNOMIA,Police station
4921,24.91609,37.46349,EISAGGELIA PRÏTODIKÏN MESOLOGGIOY TMIMA POINIKOY MITRÏOY,EIS.PRÏTODIKÏN,Court buildings
4922,21.40351,38.62234,EISAGGELIA PRÏTODIKÏN AGRINIOY TMIMA POINIKOY MITRÏOY,EIS.PRÏTODIKÏN,Court buildings
4923,24.12525,38.63288,L/S AMFILOCHßAS (L/CH PRÝBEZAS),LIMENAR×EIO,Oher public buildings
4924,21.08177,38.53588,L/S ASTAKOý (Y/CH MESOLOGGßOY),LIMENAR×EIO,Oher public buildings
4925,23.59666,38.08163,PYROSBESTIKI YPIRESIA AGRINIOY,PYROSBESTIKI,Fire department
4926,23.59666,38.08163,PYROSBESTIKI YPIRESIA NAYPAKTOY,PYROSBESTIKI,Fire department
4927,23.59666,38.08163,PYROSBESTIKI YPIRESIA AMFILOCHIAS,PYROSBESTIKI,Fire department
4928,23.59666,38.08163,PYROSBESTIKO KLIMAKIO AEROSKAFÏN AGRINIOY,PYROSBESTIKI,Fire department
4929,22.85226,40.47542,L/S AITÏLIKOý (Y/CH MESOLOGGßOY) ANEPÜNDRÏTO,LIMENAR×EIO,Oher public buildings
4930,21.73268,38.24615,A.T. KRANIDIOY ARGOLIDAS,ASTYNOMIA,Police station
4931,23.54841,38.04597,ASTYN. YPOD. ARGOYS,ASTYNOMIA,Police station
4932,23.80593,38.0539,ASTYN. D/NSI ARGOLIDAS,ASTYNOMIA,Police station
4933,23.65034,37.94281,E.D. AEROLIMENA ARGOYS,ASTYNOMIA,Police station
4934,23.59666,38.08163,EISAGGELIA PRÏTODIKÏN NAYPLIOY TMIMA POINIKOY MITRÏOY,EIS.PRÏTODIKÏN,Court buildings
4935,21.76705,39.55039,L/S ARCHAßAS EPIDAýROY (L/CH ISTHMßAS),LIMENAR×EIO,Oher public buildings
4936,23.7239,38.00487,L/S TOLOý ARGOLßDAS (L/CH NAYPLßOY),LIMENAR×EIO,Oher public buildings
4937,22.79785,37.56668,L/CH NAYPLßOY,LIMENAR×EIO,Oher public buildings
4938,19.90549,39.62659,Y/CH ERMIüNIS,LIMENAR×EIO,Oher public buildings
4939,25.16138,37.5378,PYROSBESTIKI YPIRESIA NAYPLIOY,PYROSBESTIKI,Fire department
4940,22.94509,39.36028,PYROSBESTIKI YPIRESIA ARGOYS,PYROSBESTIKI,Fire department
4941,24.5005,41.00451,PYROSBESTIKO KLIMAKIO KRANIDIOY,PYROSBESTIKI,Fire department
4942,22.76775,37.4204,L/S PARÜLIOY ASTROYS (L/CH NAYPLßOY),LIMENAR×EIO,Oher public buildings
4943,22.89336,37.14639,L/S LEÏNIDßOY (L/CH NAYPLßOY),LIMENAR×EIO,Oher public buildings
4944,25.13587,35.33801,ASTYN. D/NSI ARKADIAS,ASTYNOMIA,Police station
4945,23.48508,38.08429,A.T. LEBIDIOY ARKADIAS,ASTYNOMIA,Police station
4946,22.13677,37.40225,A.T. MEGALOPOLIS ARKADIAS,ASTYNOMIA,Police station
4947,23.59876,38.07188,A.T. LEÏNIDIOY ARKADIAS,ASTYNOMIA,Police station
4948,21.95808,37.73274,A.T. TROPAIÏN ARKADIAS,ASTYNOMIA,Police station
4949,22.03936,37.59603,A.T. DIMITSANAS ARKADIAS,ASTYNOMIA,Police station
4950,22.03104,37.68289,A.T. LAGKADIÏN ARKADIAS,ASTYNOMIA,Police station
4951,23.74111,37.96833,A.T. STADIOY ARKADIAS,ASTYNOMIA,Police station
4952,23.77332,38.11799,A.T. PARALIOY ASTROYS ARKADIAS,ASTYNOMIA,Police station
4953,22.37529,37.51365,EISAGGELIA PRÏTODIKÏN TRIPOLIS TMIMA POINIKOY MITRÏOY,EIS.PRÏTODIKÏN,Court buildings
4954,23.76341,37.98846,PYROSBESTIKI YPIRESIA MEGALOPOLIS,PYROSBESTIKI,Fire department
4955,23.79943,37.99078,PYROSBESTIKO KLIMAKIO ASTROYS,PYROSBESTIKI,Fire department
4956,23.88193,38.00473,PYROSBESTIKO KLIMAKIO BYTINAS,PYROSBESTIKI,Fire department
4957,23.72971,37.9687,PYROSBESTIKO KLIMAKIO LEÏNIDIOY,PYROSBESTIKI,Fire department
4958,23.62834,37.9577,PYROSBESTIKO KLIMAKIO TROPAIÏN,PYROSBESTIKI,Fire department
4959,23.6411,37.9509,PYROSBESTIKO KLIMAKIO AEROSKAFÏN TRIPOLIS,PYROSBESTIKI,Fire department
4960,23.54751,41.09554,A.T. BOYRGARELIOY ARTAS,ASTYNOMIA,Police station
4961,20.9801,39.15581,ASTYN. D/NSI ARTAS,ASTYNOMIA,Police station
4962,20.98787,39.1629,EISAGGELIA PRÏTODIKÏN ARTAS TMIMA POINIKOY MITRÏOY,EIS.PRÏTODIKÏN,Court buildings
4963,23.98222,38.06892,PYROSBESTIKI YPIRESIA ARTAS,PYROSBESTIKI,Fire department
4964,25.40544,41.11833,PYROSBESTIKO KLIMAKIO ASTROCHÏRIOY,PYROSBESTIKI,Fire department
4965,25.40553,41.11887,PYROSBESTIKO KLIMAKIO ANÏ ATHAMANIOY,PYROSBESTIKI,Fire department
4966,22.96,40.58929,L/S AKRÜTAS ACHAÀAS (Y/CH AIGßOY) (ANEPÜNDRÏTO),LIMENAR×EIO,Oher public buildings
4967,21.73774,38.24538,ASTYN. D/NSI ACHAIAS,ASTYNOMIA,Police station
4968,23.64418,37.94189,A.T. AKRATAS ACHAIAS,ASTYNOMIA,Police station
4969,23.75305,37.96757,A.T. KALABRYTÏN ACHAIAS,ASTYNOMIA,Police station
4970,23.71461,37.98779,A.T. KATÏ ACHAIAS,ASTYNOMIA,Police station
4971,23.68571,37.99496,ASTYN. YPOD. AIGIOY ACHAIAS,ASTYNOMIA,Police station
4972,23.72501,37.98092,D A.T. PATRÏN ACHAIAS,ASTYNOMIA,Police station
4973,23.74023,37.98921,TMIMA METAGÏGÏN-DIKAST. PATRÏN,ASTYNOMIA,Police station
4974,23.80628,38.02301,G A.T. PATRÏN ACHAIAS,ASTYNOMIA,Police station
4975,22.91896,40.64903,E A.T. PATRÏN ACHAIAS,ASTYNOMIA,Police station
4976,21.78284,40.29563,A.T. CHALANDRITSAS ACHAIAS,ASTYNOMIA,Police station
4977,25.15768,35.33992,A A.T. PATRÏN ACHAIAS T.T. PATRÏN,ASTYNOMIA,Police station
4978,21.55034,38.13328,E.D. AEROLIMENA ARACHOY,ASTYNOMIA,Police station
4979,21.73038,38.24608,E.D. LIMENA PATRÏN (ECHtra Shengen),ASTYNOMIA,Police station
4980,23.52952,41.08589,TM. TROCH AYT. ACHAIAS,ASTYNOMIA,Police station
4981,23.75235,40.53036,EISAGGELIA PRÏTODIKÏN KALABRYTÏN TMIMA POINIKOY MITRÏOY,EIS.PRÏTODIKÏN,Court buildings
4982,22.86698,40.99381,EISAGGELIA PRÏTODIKÏN AIGIOY TMIMA POINIKOY MITRÏOY,EIS.PRÏTODIKÏN,Court buildings
4983,22.05069,40.8024,K.L. PÜTRAS/VTS,LIMENAR×EIO,Oher public buildings
4984,22.06276,40.9753,K.L. PÜTRAS/GR. PSKR KEA,LIMENAR×EIO,Oher public buildings
