lon,lat,vs30,Coef,Zone_EC8,PGA_EC8,Soil_EC8
21.28213,39.8,750.6114,0.1,1,0.16,B
21.28213,39.7,625.1178,0.1,1,0.16,B
21.38213,40.3,437.80533,0.1,1,0.16,B
21.38213,40.2,509.12436,0.1,1,0.16,B
21.38213,40.1,457.5412,0.1,1,0.16,B
21.38213,40,469.4247,0.1,1,0.16,B
21.38213,39.9,625.6124,0.1,1,0.16,B
21.38213,39.8,900,0.1,1,0.16,A
21.38213,39.7,900,0.1,1,0.16,A
21.38213,39.6,795.71704,0.1,1,0.16,B
21.38213,39.5,900,0.1,1,0.16,A
21.48213,40.4,839.4275,0.1,1,0.16,A
21.48213,40.3,352.53864,0.1,1,0.16,C
21.48213,40.2,346.68195,0.1,1,0.16,C
21.48213,40.1,398.06638,0.1,1,0.16,B
21.48213,40,339.8176,0.1,1,0.16,C
21.48213,39.9,532.56757,0.1,1,0.16,B
21.48213,39.8,575.8919,0.1,1,0.16,B
21.48213,39.7,900,0.1,1,0.16,A
21.48213,39.6,845.8338,0.1,1,0.16,A
21.48213,39.5,516.81323,0.1,1,0.16,B
21.58213,40.8,405.15662,0.1,1,0.16,B
21.58213,40.7,461.28116,0.1,1,0.16,B
21.58213,40.6,414.83438,0.1,1,0.16,B
21.58213,40.5,438.04614,0.1,1,0.16,B
21.58213,40.4,900,0.1,1,0.16,A
21.58213,40.3,663.8,0.1,1,0.16,B
21.58213,40.2,571.9446,0.1,1,0.16,B
21.58213,40.1,523.1466,0.1,1,0.16,B
21.58213,40,599.7212,0.1,1,0.16,B
21.58213,39.9,420.48672,0.1,1,0.16,B
21.58213,39.8,608.4339,0.1,1,0.16,B
21.58213,39.7,537.4413,0.1,1,0.16,B
21.58213,39.6,867.99554,0.1,1,0.16,A
21.58213,39.5,900,0.1,1,0.16,A
21.68213,40.9,677.7921,0.1,1,0.16,B
21.68213,40.8,598.31067,0.1,1,0.16,B
21.68213,40.7,361.98746,0.1,1,0.16,B
21.68213,40.6,436.18,0.1,1,0.16,B
21.68213,40.5,271.06134,0.1,1,0.16,C
21.68213,40.4,370.9355,0.1,1,0.16,B
21.68213,40.3,563.6334,0.1,1,0.16,B
21.68213,40.2,621.2719,0.1,1,0.16,B
21.68213,40.1,413.95575,0.1,1,0.16,B
21.68213,40,569.38995,0.1,1,0.16,B
21.68213,39.9,503.40875,0.1,1,0.16,B
21.68213,39.8,555.4598,0.1,1,0.16,B
21.68213,39.7,570.4706,0.1,1,0.16,B
21.68213,39.6,248.67635,0.1,1,0.16,C
21.68213,39.5,292.35635,0.1,1,0.16,C
21.78213,40.9,895.49457,0.1,1,0.16,A
21.78213,40.8,750.78064,0.1,1,0.16,B
21.78213,40.7,606.2416,0.1,1,0.16,B
21.78213,40.6,745.5918,0.1,1,0.16,B
21.78213,40.5,458.35657,0.1,1,0.16,B
21.78213,40.4,385.69638,0.1,1,0.16,B
21.78213,40.3,504.75455,0.1,1,0.16,B
21.78213,40.2,429.2418,0.1,1,0.16,B
21.78213,40.1,556.9466,0.1,1,0.16,B
21.78213,40,576.71063,0.1,1,0.16,B
21.78213,39.9,470.14807,0.1,1,0.16,B
21.78213,39.8,487.59018,0.1,1,0.16,B
21.78213,39.7,537.6494,0.1,1,0.16,B
21.78213,39.6,392.73895,0.1,1,0.16,B
21.88213,41,900,0.1,1,0.16,A
21.88213,40.9,671.61523,0.1,1,0.16,B
21.88213,40.8,518.6705,0.1,1,0.16,B
21.88213,40.7,441.08984,0.1,1,0.16,B
21.88213,40.6,777.6966,0.1,1,0.16,B
21.88213,40.5,798.341,0.1,1,0.16,B
21.88213,40.4,368.99487,0.1,1,0.16,B
21.88213,40.3,445.04138,0.1,1,0.16,B
21.88213,40.2,450.3618,0.1,1,0.16,B
21.88213,40.1,733.6049,0.1,1,0.16,B
21.88213,40,605.6908,0.1,1,0.16,B
21.88213,39.9,506.23285,0.1,1,0.16,B
21.88213,39.8,558.22363,0.1,1,0.16,B
21.88213,39.7,492.0794,0.1,1,0.16,B
21.88213,39.6,730.24835,0.1,1,0.16,B
21.98213,41.1,649.04944,0.1,1,0.16,B
21.98213,41,824.0521,0.1,1,0.16,A
21.98213,40.9,634.81775,0.1,1,0.16,B
21.98213,40.8,548.8112,0.1,1,0.16,B
21.98213,40.7,725.0529,0.1,1,0.16,B
21.98213,40.6,675.1372,0.1,1,0.16,B
21.98213,40.5,385.57086,0.1,1,0.16,B
21.98213,40.4,750.89355,0.1,1,0.16,B
21.98213,40.3,657.2111,0.1,1,0.16,B
21.98213,40.2,377.50153,0.1,1,0.16,B
21.98213,40.1,525.2925,0.1,1,0.16,B
21.98213,40,443.737,0.1,1,0.16,B
21.98213,39.9,765.07837,0.1,1,0.16,B
21.98213,39.8,609.90045,0.1,1,0.16,B
21.98213,39.7,798.0858,0.1,1,0.16,B
22.08213,41.1,698.8082,0.1,1,0.16,B
22.08213,41,294.20062,0.1,1,0.16,C
22.08213,40.9,406.2919,0.1,1,0.16,B
22.08213,40.8,611.489,0.1,1,0.16,B
22.08213,40.7,500.70972,0.1,1,0.16,B
22.08213,40.6,597.4053,0.1,1,0.16,B
22.08213,40.5,885.4076,0.1,1,0.16,A
22.08213,40.4,674.4105,0.1,1,0.16,B
22.08213,40.3,804.52405,0.1,1,0.16,A
22.08213,40.2,892.82434,0.1,1,0.16,A
22.08213,40.1,646.77515,0.1,1,0.16,B
22.08213,40,475.34348,0.1,1,0.16,B
22.08213,39.9,481.62955,0.1,1,0.16,B
22.08213,39.8,259.38965,0.1,1,0.16,C
22.08213,39.7,445.36252,0.1,1,0.16,B
22.18213,41.1,896.5344,0.1,1,0.16,A
22.18213,41,801.90936,0.1,1,0.16,A
22.18213,40.9,510.44684,0.1,1,0.16,B
22.18213,40.8,228.60574,0.1,1,0.16,C
22.18213,40.7,287.06512,0.1,1,0.16,C
22.18213,40.6,330.36282,0.1,1,0.16,C
22.18213,40.5,492.22992,0.1,1,0.16,B
22.18213,40.4,900,0.1,1,0.16,A
22.18213,40.3,900,0.1,1,0.16,A
22.18213,40.2,879.0146,0.1,1,0.16,A
22.18213,40.1,644.9755,0.1,1,0.16,B
22.18213,40,387.60843,0.1,1,0.16,B
22.18213,39.9,462.4889,0.1,1,0.16,B
22.18213,39.8,516.8336,0.1,1,0.16,B
22.18213,39.7,521.09705,0.1,1,0.16,B
22.28213,41.1,569.64984,0.1,1,0.16,B
22.28213,41,408.78616,0.1,1,0.16,B
22.28213,40.9,823.7852,0.1,1,0.16,A
22.28213,40.8,224.69153,0.1,1,0.16,C
22.28213,40.7,212.61548,0.1,1,0.16,C
22.28213,40.6,205.81346,0.1,1,0.16,C
22.28213,40.5,333.3416,0.1,1,0.16,C
22.28213,40.4,594.51544,0.1,1,0.16,B
22.28213,40.3,727.21765,0.1,1,0.16,B
22.28213,40.2,873.95764,0.1,1,0.16,A
22.28213,40.1,900,0.1,1,0.16,A
22.28213,40,736.58984,0.1,1,0.16,B
22.28213,39.9,693.2274,0.1,1,0.16,B
22.28213,39.8,684.122,0.1,1,0.16,B
22.38213,41,849.56384,0.1,1,0.16,A
22.38213,40.9,824.9864,0.1,1,0.16,A
22.38213,40.8,409.92456,0.1,1,0.16,B
22.38213,40.7,183.96927,0.1,1,0.16,C
22.38213,40.6,207.82304,0.1,1,0.16,C
22.38213,40.5,365.8064,0.1,1,0.16,B
22.38213,40.4,478.29706,0.1,1,0.16,B
22.38213,40.3,402.96313,0.1,1,0.16,B
22.38213,40.2,500.7179,0.1,1,0.16,B
22.38213,40.1,900,0.1,1,0.16,A
22.38213,40,889.4695,0.1,1,0.16,A
22.38213,39.9,899.9174,0.1,1,0.16,A
22.38213,39.8,457.37665,0.1,1,0.16,B
22.48213,40.9,422.7577,0.1,1,0.16,B
22.48213,40.8,393.3471,0.1,1,0.16,B
22.48213,40.7,195.19121,0.1,1,0.16,C
22.48213,40.6,190.28671,0.1,1,0.16,C
22.48213,40.5,435.06403,0.1,1,0.16,B
22.48213,40.4,428.06818,0.1,1,0.16,B
22.48213,40.3,398.21814,0.1,1,0.16,B
22.48213,40.2,293.94482,0.1,1,0.16,C
22.48213,40.1,864.7307,0.1,1,0.16,A
22.48213,40,812.91,0.1,1,0.16,A
22.48213,39.9,900,0.1,1,0.16,A
22.58213,40.8,359.00702,0.1,1,0.16,C
22.58213,40.7,211.02252,0.1,1,0.16,C
22.58213,40.6,196.25533,0.1,1,0.16,C
22.58213,40.5,262.7732,0.1,1,0.16,C
22.58213,40.4,384.78583,0.1,1,0.16,B
22.58213,40.3,268.8064,0.1,1,0.16,C
22.58213,40,796.5897,0.1,1,0.16,B
22.68213,40.7,197.204,0.1,1,0.16,C
22.68213,40.6,206.05305,0.1,1,0.16,C
23.08213,41.3,900,0.1,1,0.16,A
23.18213,41.3,900,0.1,1,0.16,A
23.18213,41.2,401.11386,0.1,1,0.16,B
23.28213,41.3,784.89813,0.1,1,0.16,B
23.28213,41.2,225.00256,0.1,1,0.16,C
23.38213,41.3,732.9933,0.1,1,0.16,B
23.38213,41.2,404.6352,0.1,1,0.16,B
23.38213,41.1,215.43037,0.1,1,0.16,C
23.48213,41.3,519.0054,0.1,1,0.16,B
23.48213,41.2,663.3203,0.1,1,0.16,B
23.48213,41.1,424.38855,0.1,1,0.16,B
23.58213,41.3,649.147,0.1,1,0.16,B
23.58213,41.2,644.9143,0.1,1,0.16,B
23.58213,41.1,579.2587,0.1,1,0.16,B
23.58213,41,197.83527,0.1,1,0.16,C
23.68213,41.2,900,0.1,1,0.16,A
23.68213,41.1,674.9214,0.1,1,0.16,B
23.68213,41,284.1407,0.1,1,0.16,C
23.78213,41.1,706.2539,0.1,1,0.16,B
23.78213,41,386.72586,0.1,1,0.16,B
23.78213,40.9,263.72015,0.1,1,0.16,C
23.88213,41.1,814.409,0.1,1,0.16,A
23.88213,41,510.374,0.1,1,0.16,B
23.88213,40.9,432.1751,0.1,1,0.16,B
23.88213,40.8,623.58765,0.1,1,0.16,B
23.98213,41.1,372.54938,0.1,1,0.16,B
23.98213,41,493.84875,0.1,1,0.16,B
23.98213,40.9,872.01434,0.1,1,0.16,A
24.08213,41,404.35416,0.1,1,0.16,B
26.48213,37.6,551.237,0.1,1,0.16,B
26.78213,37.3,448.12024,0.1,1,0.16,B
26.98213,37,516.0582,0.1,1,0.16,B
20.78213,40.3,743.80493,0.1,1,0.16,B
20.78213,40.2,900,0.1,1,0.16,A
20.88213,40.4,620.8695,0.1,1,0.16,B
20.88213,40.3,884.3366,0.1,1,0.16,A
20.88213,40.2,886.60864,0.1,1,0.16,A
20.88213,40.1,900,0.1,1,0.16,A
20.88213,40,859.0919,0.1,1,0.16,A
20.88213,39.9,808.17426,0.1,1,0.16,A
20.98213,40.5,517.4523,0.1,1,0.16,B
20.98213,40.4,706.0218,0.1,1,0.16,B
20.98213,40.3,767.11487,0.1,1,0.16,B
20.98213,40.2,767.2793,0.1,1,0.16,B
20.98213,40.1,770.80225,0.1,1,0.16,B
20.98213,40,900,0.1,1,0.16,A
20.98213,39.9,850.7575,0.1,1,0.16,A
20.98213,39.8,503.34027,0.1,1,0.16,B
21.08213,40.8,523.9084,0.1,1,0.16,B
21.08213,40.7,900,0.1,1,0.16,A
21.08213,40.6,577.39154,0.1,1,0.16,B
21.08213,40.5,474.4884,0.1,1,0.16,B
21.08213,40.4,607.8467,0.1,1,0.16,B
21.08213,40.3,677.8706,0.1,1,0.16,B
21.08213,39.9,815.5798,0.1,1,0.16,A
21.08213,39.8,506.5797,0.1,1,0.16,B
21.08213,39.7,879.61426,0.1,1,0.16,A
21.08213,39.6,792.888,0.1,1,0.16,B
21.18213,40.8,900,0.1,1,0.16,A
21.18213,40.7,632.8916,0.1,1,0.16,B
21.18213,40.6,900,0.1,1,0.16,A
21.18213,40.5,286.28592,0.1,1,0.16,C
21.18213,40.4,616.36646,0.1,1,0.16,B
21.18213,39.8,543.6219,0.1,1,0.16,B
21.28213,40.8,900,0.1,1,0.16,A
21.28213,40.7,822.32166,0.1,1,0.16,A
21.28213,40.6,813.9122,0.1,1,0.16,A
21.28213,40.5,583.8895,0.1,1,0.16,B
21.28213,40.4,360.71008,0.1,1,0.16,B
21.38213,40.8,865.0132,0.1,1,0.16,A
21.38213,40.7,849.162,0.1,1,0.16,A
21.38213,40.6,900,0.1,1,0.16,A
21.38213,40.5,739.37976,0.1,1,0.16,B
21.38213,40.4,592.3862,0.1,1,0.16,B
21.48213,40.9,252.89792,0.1,1,0.16,C
21.48213,40.8,299.03995,0.1,1,0.16,C
21.48213,40.7,537.0053,0.1,1,0.16,B
21.48213,40.6,815.7541,0.1,1,0.16,A
21.48213,40.5,735.4647,0.1,1,0.16,B
21.58213,39.4,806.47644,0.1,1,0.16,A
22.28213,39.7,333.40298,0.1,1,0.16,C
22.38213,39.7,232.83667,0.1,1,0.16,C
22.48213,39.8,850.7195,0.1,1,0.16,A
22.48213,39.7,197.35114,0.1,1,0.16,C
22.58213,39.9,624.22034,0.1,1,0.16,B
22.58213,39.8,818.5958,0.1,1,0.16,A
22.58213,39.7,495.58817,0.1,1,0.16,B
22.68213,39.9,217.91222,0.1,1,0.16,C
22.68213,39.8,900,0.1,1,0.16,A
22.68213,39.7,743.5196,0.1,1,0.16,B
22.78213,40.7,271.07123,0.1,1,0.16,C
22.78213,40.6,180,0.1,1,0.16,D
22.78213,39.8,900,0.1,1,0.16,A
22.88213,40.7,435.638,0.1,1,0.16,B
22.88213,40.5,504.8228,0.1,1,0.16,B
22.98213,40.6,411.96854,0.1,1,0.16,B
22.98213,40.5,373.86743,0.1,1,0.16,B
22.98213,40.4,386.5524,0.1,1,0.16,B
23.08213,40.5,315.44104,0.1,1,0.16,C
23.08213,40.4,408.82703,0.1,1,0.16,B
23.18213,40.4,451.75662,0.1,1,0.16,B
23.18213,40.3,401.93494,0.1,1,0.16,B
23.28213,40.3,379.71707,0.1,1,0.16,B
23.38213,40.1,307.84894,0.1,1,0.16,C
23.38213,40,541.75867,0.1,1,0.16,B
23.48213,40,489.05917,0.1,1,0.16,B
20.48213,40,606.7392,0.1,1,0.16,B
20.48213,39.9,700.94806,0.1,1,0.16,B
20.58213,40,646.27106,0.1,1,0.16,B
20.58213,39.9,599.3043,0.1,1,0.16,B
20.58213,39.8,326.0719,0.1,1,0.16,C
20.58213,39.7,541.2796,0.1,1,0.16,B
20.68213,40.1,486.7384,0.1,1,0.16,B
20.68213,40,677.1449,0.1,1,0.16,B
20.68213,39.9,772.8522,0.1,1,0.16,B
20.68213,39.8,481.97757,0.1,1,0.16,B
20.68213,39.7,546.89087,0.1,1,0.16,B
20.68213,39.6,900,0.1,1,0.16,A
20.68213,39.5,522.756,0.1,1,0.16,B
20.78213,40.1,669.4208,0.1,1,0.16,B
20.78213,40,900,0.1,1,0.16,A
20.78213,39.9,840.6909,0.1,1,0.16,A
20.78213,39.8,888.4526,0.1,1,0.16,A
20.78213,39.7,412.47894,0.1,1,0.16,B
20.78213,39.6,832.0758,0.1,1,0.16,A
20.78213,39.5,795.5195,0.1,1,0.16,B
20.78213,39.4,818.18304,0.1,1,0.16,A
20.88213,39.8,463.31644,0.1,1,0.16,B
20.88213,39.7,900,0.1,1,0.16,A
20.88213,39.6,376.57532,0.1,1,0.16,B
20.88213,39.5,637.5481,0.1,1,0.16,B
20.88213,39.4,597.7567,0.1,1,0.16,B
20.98213,39.7,603.4116,0.1,1,0.16,B
20.98213,39.6,699.812,0.1,1,0.16,B
20.98213,39.5,635.292,0.1,1,0.16,B
21.68213,37.7,795.6858,0.1,1,0.16,B
21.68213,37.6,496.9454,0.1,1,0.16,B
21.78213,37.7,441.22827,0.1,1,0.16,B
21.78213,37.6,474.11285,0.1,1,0.16,B
21.78213,37.5,717.01434,0.1,1,0.16,B
21.88213,37.7,509.08698,0.1,1,0.16,B
21.88213,37.6,408.6551,0.1,1,0.16,B
21.88213,37.5,615.57935,0.1,1,0.16,B
21.98213,37.6,735.5021,0.1,1,0.16,B
21.98213,37.5,806.6299,0.1,1,0.16,A
21.98213,37.4,620.1849,0.1,1,0.16,B
22.08213,37.6,667.81055,0.1,1,0.16,B
22.08213,37.5,812.383,0.1,1,0.16,A
22.08213,37.4,449.58475,0.1,1,0.16,B
22.08213,37.3,522.8207,0.1,1,0.16,B
22.18213,37.6,626.31104,0.1,1,0.16,B
22.18213,37.5,607.99426,0.1,1,0.16,B
22.18213,37.4,728.98474,0.1,1,0.16,B
22.18213,37.3,505.27118,0.1,1,0.16,B
22.18213,37.2,561.1448,0.1,1,0.16,B
22.28213,37.6,784.978,0.1,1,0.16,B
22.28213,37.5,677.10345,0.1,1,0.16,B
22.28213,37.4,396.92804,0.1,1,0.16,B
22.28213,37.3,504.0325,0.1,1,0.16,B
22.28213,37.2,803.6726,0.1,1,0.16,A
22.38213,37.6,260.05566,0.1,1,0.16,C
22.38213,37.5,299.26804,0.1,1,0.16,C
22.38213,37.4,643.6377,0.1,1,0.16,B
22.38213,37.3,527.5573,0.1,1,0.16,B
22.38213,37.2,587.1102,0.1,1,0.16,B
22.38213,37.1,510.19073,0.1,1,0.16,B
22.38213,37,897.49634,0.1,1,0.16,A
22.48213,37.6,824.61096,0.1,1,0.16,A
22.48213,37.5,754.44635,0.1,1,0.16,B
22.48213,37.4,825.6126,0.1,1,0.16,A
22.48213,37.3,487.11456,0.1,1,0.16,B
22.48213,37.2,665.4747,0.1,1,0.16,B
22.48213,37.1,457.12234,0.1,1,0.16,B
22.48213,37,397.9052,0.1,1,0.16,B
22.48213,36.9,685.7218,0.1,1,0.16,B
22.58213,37.6,815.5343,0.1,1,0.16,A
22.58213,37.5,534.45276,0.1,1,0.16,B
22.58213,37.4,823.8292,0.1,1,0.16,A
22.58213,37.3,788.4309,0.1,1,0.16,B
22.58213,37.2,833.5209,0.1,1,0.16,A
22.58213,37.1,649.41174,0.1,1,0.16,B
22.58213,37,520.0112,0.1,1,0.16,B
22.58213,36.9,478.1949,0.1,1,0.16,B
22.58213,36.8,580.89,0.1,1,0.16,B
22.68213,37.6,896.31494,0.1,1,0.16,A
22.68213,37.5,769.5943,0.1,1,0.16,B
22.68213,37.4,811.22815,0.1,1,0.16,A
22.68213,37.3,698.4835,0.1,1,0.16,B
22.68213,37.2,728.1295,0.1,1,0.16,B
22.68213,37.1,900,0.1,1,0.16,A
22.68213,37,467.5214,0.1,1,0.16,B
22.68213,36.9,415.44794,0.1,1,0.16,B
22.78213,37.6,233.01825,0.1,1,0.16,C
22.78213,37.3,735.03345,0.1,1,0.16,B
22.78213,37.2,426.21912,0.1,1,0.16,B
22.78213,37.1,684.5371,0.1,1,0.16,B
22.78213,37,790.27075,0.1,1,0.16,B
22.78213,36.9,463.8573,0.1,1,0.16,B
22.78213,36.8,393.70508,0.1,1,0.16,B
22.88213,37.2,896.4092,0.1,1,0.16,A
22.88213,37.1,900,0.1,1,0.16,A
22.88213,37,423.60028,0.1,1,0.16,B
22.88213,36.9,684.119,0.1,1,0.16,B
22.88213,36.8,292.71887,0.1,1,0.16,C
22.88213,36.7,765.3779,0.1,1,0.16,B
22.98213,37,874.3496,0.1,1,0.16,A
22.98213,36.9,611.61694,0.1,1,0.16,B
